cty_name,hs2,share,Country,Cluster
AFGHANISTAN,10,0.0,AFGHANISTAN,6
ALBANIA,10,0.00035133824604474727,ALBANIA,6
ALGERIA,10,0.0,ALGERIA,3
ANDORRA,10,0.0,ANDORRA,0
ANGOLA,10,0.0,ANGOLA,3
ANGUILLA,10,0.0,ANGUILLA,6
ANTIGUA AND BARBUDA,10,0.0,ANTIGUA AND BARBUDA,6
ARGENTINA,10,0.0166071009629895,ARGENTINA,3
ARMENIA,10,0.0017935485344832702,ARMENIA,5
ARUBA,10,0.0,ARUBA,1
AUSTRALIA,10,0.00014564342926993404,AUSTRALIA,5
AUSTRIA,10,4.488256447585223e-05,AUSTRIA,2
AZERBAIJAN,10,0.0,AZERBAIJAN,6
BAHAMAS,10,0.0,BAHAMAS,1
BAHRAIN,10,0.0,BAHRAIN,6
BANGLADESH,10,4.680741265573573e-05,BANGLADESH,6
BARBADOS,10,0.002436934257520741,BARBADOS,6
BELARUS,10,0.0004479573425154634,BELARUS,6
BELGIUM,10,0.004043752368361748,BELGIUM,4
BELIZE,10,0.0020965930363159866,BELIZE,4
BENIN,10,0.0012411673214119804,BENIN,6
BERMUDA,10,0.0,BERMUDA,1
BHUTAN,10,0.0,BHUTAN,6
BOLIVIA,10,0.047438305626534824,BOLIVIA,6
BOSNIA AND HERZEGOVINA,10,0.00010923062411043699,BOSNIA AND HERZEGOVINA,6
BOTSWANA,10,0.0,BOTSWANA,5
BRAZIL,10,0.0008198529367378259,BRAZIL,6
BRITISH INDIAN OCEAN TERRITORIES,10,0.0,BRITISH INDIAN OCEAN TERRITORIES,5
BRITISH VIRGIN ISLANDS,10,0.0,BRITISH VIRGIN ISLANDS,1
BRUNEI,10,0.0,BRUNEI,6
BULGARIA,10,7.684655307021944e-05,BULGARIA,6
BURKINA FASO,10,0.0,BURKINA FASO,6
BURMA,10,0.0,BURMA,6
BURUNDI,10,0.0,BURUNDI,6
CABO VERDE,10,0.0,CABO VERDE,1
CAMBODIA,10,0.0006148292129490306,CAMBODIA,6
CAMEROON,10,0.0,CAMEROON,6
CANADA,10,0.011162677482584772,CANADA,6
CAYMAN ISLANDS,10,0.0,CAYMAN ISLANDS,1
CENTRAL AFRICAN REPUBLIC,10,0.0,CENTRAL AFRICAN REPUBLIC,1
CHAD,10,0.0,CHAD,6
CHILE,10,0.0032253535567624806,CHILE,6
CHINA,10,0.0001721748266305321,CHINA,2
CHRISTMAS ISLAND,10,0.0,CHRISTMAS ISLAND,0
COCOS (KEELING) ISLANDS,10,0.0,COCOS (KEELING) ISLANDS,2
COLOMBIA,10,3.197115983250345e-05,COLOMBIA,6
COMOROS,10,0.0,COMOROS,4
CONGO (BRAZZAVILLE),10,0.0,CONGO (BRAZZAVILLE),3
CONGO (KINSHASA),10,0.00017566890966788607,CONGO (KINSHASA),6
COOK ISLANDS,10,0.0,COOK ISLANDS,6
COSTA RICA,10,0.00013033199772454515,COSTA RICA,6
COTE D'IVOIRE,10,0.0,COTE D'IVOIRE,6
