Address,Price(CAD),Bedrooms,Type of Building
"5112 Elbow Drive Southwest, Windsor Park, Calgary",1915,1+den,Apartment
"1111 4th Street SW, Beltline, Calgary",1699,1,Apartment
"320 19 Ave SW, Mission, Calgary",2030,1,Apartment
"609 8th Street SW, Downtown, Calgary",1435,1,Apartment
"620 10 Avenue SW, Beltline, Calgary",1799,1,Apartment
"919 10 Ave SW, Downtown, Calgary",1757,studio,Apartment
"1229 Macleod Trail SE, Beltline, Calgary",1737,1,Apartment
"100 & 200 Quarry Villas SE, Quarry Park, Calgary",1863,1,Apartment
"245 Carrington Plaza NW, Carrington, Calgary",1735,1+den,Apartment
"220 4th Avenue SW, Downtown, Calgary",1799,1,Apartment
"655 Centre Street SW, Downtown, Calgary",1950,studio,Apartment
"1538 10 Avenue SW, Sunalta, Calgary",2295,2,Apartment
"15 Sage Meadows Landing NW, Calgary",1595,1,Apartment
"1320 16 Avenue SW, Beltline, Calgary",1590,1,Apartment
"Bedridge Way NE, Beddington, Calgary",2050,2,Townhouse
"223-9A Street NW, Sunnyside, Calgary",1990,1,Apartment
"825 8 Avenue SW, Beltline, Calgary",1399,1,Apartment
"2232 33 Avenue Southwest, South Calgary, Calgary",1829,1,Apartment
"1070 Mahogany Blvd SE, Mahogany, Calgary",2125,2,House
"1450 20 Ave NW, Capitol Hill, Calgary",1662,1,Apartment
"524 10th Ave, Beltline, Calgary",1725,1,Apartment
"538 10th Ave, Beltline, Calgary",1637,1,Apartment
"1055 11 Street SW, Beltline, Calgary",1725,studio,Apartment
"30 Uxborough Place NW, University Heights, Calgary",1735,1,Apartment
"1000-3000 700 Legacy Village Road SE, Academy, Calgary",1730,1,Apartment
"1310 14 Ave SW, Beltline, Calgary",1559,1,Apartment
"1124 5 Ave NW, Hillhurst, Calgary",2031,1,Apartment
"201 10 Avenue Southeast, Downtown, Calgary",1744,1,Apartment
"1177 11 Ave SW, Beltline, Calgary",1839,1,Apartment
"950 McPherson Square NE, Bridgeland, Calgary",1650,1,Apartment
